id,type,role,company,skill,difficulty,question,answer,keywords
42,Company,Software Engineer,Google,system design,hard,Explain scalability?,Handle load,"scale,system"
43,DSA,Software Engineer,Any,dsa,medium,What is sorting?,Arrange data,"sort,array"
44,Core,Software Engineer,Any,cn,medium,What is HTTP?,Protocol,"http,web"
45,Skill,Software Engineer,Any,react,medium,What is JSX?,React syntax,"jsx,react"
46,Project,Software Engineer,Any,project,medium,Explain database used?,DB choice,"database,project"
47,HR,Any,Any,behavioral,medium,Team conflict?,Resolution,"team,conflict"
48,Company,Software Engineer,Amazon,system design,hard,How Amazon handles traffic?,Load balancing,"traffic,scale"
49,DSA,Software Engineer,Any,dsa,medium,What is hashing?,Mapping data,"hash,map"
50,Core,Software Engineer,Any,os,medium,What is scheduling?,Process allocation,"schedule,os"
51,Skill,Software Engineer,Any,java,medium,What is inheritance?,OOP concept,"inheritance,oop"
52,Project,Software Engineer,Any,project,medium,Explain API usage?,Integration,"api,backend"
53,HR,Any,Any,behavioral,medium,Leadership example?,Experience,"leader,example"
54,Company,Software Engineer,Google,ai,hard,Explain ML pipeline?,Data flow,"ml,pipeline"
55,DSA,Software Engineer,Any,dsa,hard,What is backtracking?,Recursive search,"backtrack,recursion"
56,Core,Software Engineer,Any,dbms,medium,What is transaction?,Unit of work,"transaction,db"
57,Skill,Software Engineer,Any,node,medium,What is Express?,Backend framework,"express,node"
58,Project,Software Engineer,Any,project,medium,Explain testing?,QA process,"testing,qa"
59,HR,Any,Any,behavioral,medium,Failure example?,Learning,"failure,learn"
60,Company,Software Engineer,Microsoft,cloud,medium,What is cloud computing?,Internet computing,"cloud,system"
61,Company,Software Engineer,Google,ai,medium,What is AI? (variant),Machine intelligence,"ai,ml"
62,HR,Any,Any,behavioral,easy,Why this company? (variant),Motivation,"company,interest"
63,HR,Any,Any,behavioral,easy,Tell me about yourself (variant),Structured intro,"intro,background"
64,Core,Software Engineer,Any,cn,medium,What is TCP/IP? (variant),Communication protocol,"network,tcp"
65,Company,Software Engineer,Google,system design,hard,Explain scalability? (variant),Handle load,"scale,system"
66,HR,Any,Any,behavioral,medium,Where in 5 years? (variant),Career goal,"future,goal"
67,Project,Software Engineer,Any,project,medium,Your role in project? (variant),Contribution,"role,team"
68,Company,Software Engineer,Microsoft,cloud,medium,What is Azure? (variant),Cloud platform,"azure,cloud"
69,Core,Software Engineer,Any,dbms,medium,What is transaction? (variant),Unit of work,"transaction,db"
70,Project,Software Engineer,Any,project,medium,Future improvements? (variant),Enhancements,"future,project"
71,Core,Software Engineer,Any,os,medium,Process vs thread? (variant),Process independent,"process,thread"
72,Core,Software Engineer,Any,dbms,medium,What is transaction? (variant),Unit of work,"transaction,db"
73,DSA,Software Engineer,Any,dsa,easy,What is stack? (variant),LIFO data structure,"stack,lifo"
74,Core,Software Engineer,Any,dbms,medium,What is indexing? (variant),Speed queries,"index,db"
75,Core,Software Engineer,Any,cn,medium,What is HTTP? (variant),Protocol,"http,web"
76,Project,Software Engineer,Any,project,medium,Explain database used? (variant),DB choice,"database,project"
77,DSA,Software Engineer,Any,dsa,easy,What is queue? (variant),FIFO structure,"queue,fifo"
78,Company,Software Engineer,Microsoft,cloud,medium,What is cloud computing? (variant),Internet computing,"cloud,system"
79,Company,Software Engineer,Google,system design,hard,How Google search works? (variant),Distributed system,"google,scale"
80,Project,Software Engineer,Any,project,easy,Tech stack used? (variant),Tools used,"tech,stack"
81,Company,Software Engineer,Google,ai,medium,What is AI? (variant),Machine intelligence,"ai,ml"
82,HR,Any,Any,behavioral,easy,Why this company? (variant),Motivation,"company,interest"
83,Core,Software Engineer,Any,os,easy,What is OS? (variant),Manages hardware and software,"os,system"
84,Skill,Software Engineer,Any,java,easy,What is OOP? (variant),Object oriented programming,"oop,java"
85,HR,Any,Any,behavioral,medium,Failure example? (variant),Learning,"failure,learn"
86,Company,Software Engineer,Microsoft,cloud,medium,What is cloud computing? (variant),Internet computing,"cloud,system"
87,Company,Software Engineer,Google,system design,hard,How Google search works? (variant),Distributed system,"google,scale"
88,Company,Software Engineer,Google,system design,hard,Explain scalability? (variant),Handle load,"scale,system"
89,Company,Software Engineer,Amazon,system design,hard,How Amazon handles traffic? (variant),Load balancing,"traffic,scale"
90,Company,Software Engineer,Amazon,system design,hard,How Amazon handles traffic? (variant),Load balancing,"traffic,scale"
91,DSA,Software Engineer,Any,dsa,easy,What is queue? (variant),FIFO structure,"queue,fifo"
92,HR,Any,Any,behavioral,medium,Team conflict? (variant),Resolution,"team,conflict"
93,Skill,Software Engineer,Any,python,medium,Explain list comprehension (variant),Short syntax,"list,python"
94,Skill,Software Engineer,Any,react,medium,What are hooks? (variant),State management,"react,hooks"
95,Core,Software Engineer,Any,os,medium,What is scheduling? (variant),Process allocation,"schedule,os"
96,DSA,Software Engineer,Any,dsa,medium,What is recursion? (variant),Function calling itself,"recursion,stack"
97,DSA,Software Engineer,Any,dsa,medium,What is binary search? (variant),Divide and conquer search,"search,logn"
98,Project,Software Engineer,Any,project,medium,Explain API usage? (variant),Integration,"api,backend"
99,HR,Any,Any,behavioral,medium,Team conflict? (variant),Resolution,"team,conflict"
100,Company,Software Engineer,Amazon,cloud,medium,What is AWS? (variant),Cloud service,"aws,cloud"
101,Skill,Software Engineer,Any,python,medium,Explain list comprehension (variant),Short syntax,"list,python"
102,HR,Any,Any,behavioral,medium,Where in 5 years? (variant),Career goal,"future,goal"
103,Company,Software Engineer,Amazon,system design,hard,How Amazon handles traffic? (variant),Load balancing,"traffic,scale"
104,DSA,Software Engineer,Any,dsa,medium,What is hashing? (variant),Mapping data,"hash,map"
105,DSA,Software Engineer,Any,dsa,easy,What is time complexity? (variant),Measure of algorithm efficiency,"complexity,big-o"
106,Core,Software Engineer,Any,dbms,medium,What is indexing? (variant),Speed queries,"index,db"
107,Skill,Software Engineer,Any,java,medium,What is inheritance? (variant),OOP concept,"inheritance,oop"
108,HR,Any,Any,behavioral,easy,Tell me about yourself (variant),Structured intro,"intro,background"
109,HR,Any,Any,behavioral,medium,Failure example? (variant),Learning,"failure,learn"
110,Core,Software Engineer,Any,dbms,medium,What is transaction? (variant),Unit of work,"transaction,db"
111,Core,Software Engineer,Any,os,medium,Process vs thread? (variant),Process independent,"process,thread"
112,HR,Any,Any,behavioral,easy,Tell me about yourself (variant),Structured intro,"intro,background"
113,DSA,Software Engineer,Any,dsa,medium,What is linked list? (variant),Dynamic structure,"list,node"
114,Project,Software Engineer,Any,project,medium,Challenges faced? (variant),Explain issues,"project,problem"
115,HR,Any,Any,behavioral,easy,Why should we hire you? (variant),Justify skills,"hire,fit"
116,Project,Software Engineer,Any,project,easy,Tech stack used? (variant),Tools used,"tech,stack"
117,Company,Software Engineer,Microsoft,cloud,medium,What is cloud computing? (variant),Internet computing,"cloud,system"
118,Skill,Software Engineer,Any,sql,medium,What is JOIN? (variant),Combine tables,"sql,join"
119,DSA,Software Engineer,Any,dsa,easy,What is time complexity? (variant),Measure of algorithm efficiency,"complexity,big-o"
120,Project,Software Engineer,Any,project,medium,Explain database used? (variant),DB choice,"database,project"
121,Project,Software Engineer,Any,project,easy,Tech stack used? (variant),Tools used,"tech,stack"
122,DSA,Software Engineer,Any,dsa,hard,Explain graph traversal (variant),BFS and DFS,"graph,bfs,dfs"
123,HR,Any,Any,behavioral,medium,Weaknesses? (variant),Improvement areas,"weakness,improve"
124,Company,Software Engineer,Amazon,system design,hard,Explain Amazon architecture? (variant),Microservices,"amazon,system"
125,Skill,Software Engineer,Any,python,easy,What is Python? (variant),Programming language,"python,basics"
126,Company,Software Engineer,Google,system design,hard,How Google search works? (variant),Distributed system,"google,scale"
127,Core,Software Engineer,Any,dbms,medium,What is indexing? (variant),Speed queries,"index,db"
128,Core,Software Engineer,Any,dbms,easy,What is primary key? (variant),Unique identifier,"key,db"
129,Skill,Software Engineer,Any,node,medium,What is Node.js? (variant),JS runtime,"node,backend"
130,Core,Software Engineer,Any,os,medium,What is scheduling? (variant),Process allocation,"schedule,os"
131,HR,Any,Any,behavioral,medium,Weaknesses? (variant),Improvement areas,"weakness,improve"
132,HR,Any,Any,behavioral,medium,Weaknesses? (variant),Improvement areas,"weakness,improve"
133,Project,Software Engineer,Any,project,medium,Future improvements? (variant),Enhancements,"future,project"
134,DSA,Software Engineer,Any,dsa,hard,Explain graph traversal (variant),BFS and DFS,"graph,bfs,dfs"
135,Core,Software Engineer,Any,dbms,medium,What is normalization? (variant),Remove redundancy,"dbms,normalization"
136,DSA,Software Engineer,Any,dsa,hard,What is backtracking? (variant),Recursive search,"backtrack,recursion"
137,Skill,Software Engineer,Any,java,medium,What is inheritance? (variant),OOP concept,"inheritance,oop"
138,Skill,Software Engineer,Any,react,medium,What is JSX? (variant),React syntax,"jsx,react"
139,Company,Software Engineer,Google,system design,hard,How Google search works? (variant),Distributed system,"google,scale"
140,Project,Software Engineer,Any,project,medium,Your role in project? (variant),Contribution,"role,team"
141,Skill,Software Engineer,Any,react,medium,What are hooks? (variant),State management,"react,hooks"
142,DSA,Software Engineer,Any,dsa,easy,What is stack? (variant),LIFO data structure,"stack,lifo"
143,Core,Software Engineer,Any,os,hard,Explain deadlock (variant),Resource blocking,"deadlock,os"
144,Project,Software Engineer,Any,project,medium,Explain deployment? (variant),Hosting process,"deploy,server"
145,Core,Software Engineer,Any,os,easy,What is OS? (variant),Manages hardware and software,"os,system"
146,Project,Software Engineer,Any,project,medium,Explain database used? (variant),DB choice,"database,project"
147,Core,Software Engineer,Any,os,easy,What is OS? (variant),Manages hardware and software,"os,system"
148,HR,Any,Any,behavioral,easy,Why this company? (variant),Motivation,"company,interest"
149,Project,Software Engineer,Any,project,medium,Your role in project? (variant),Contribution,"role,team"
150,Project,Software Engineer,Any,project,medium,Future improvements? (variant),Enhancements,"future,project"
151,Project,Software Engineer,Any,project,medium,Explain your project (variant),Describe architecture,"project,design"
152,DSA,Software Engineer,Any,dsa,hard,Explain dynamic programming (variant),Overlapping subproblems,"dp,optimization"
153,HR,Any,Any,behavioral,easy,Why this company? (variant),Motivation,"company,interest"
154,Core,Software Engineer,Any,dbms,easy,What is primary key? (variant),Unique identifier,"key,db"
155,DSA,Software Engineer,Any,dsa,hard,Explain dynamic programming (variant),Overlapping subproblems,"dp,optimization"
156,Project,Software Engineer,Any,project,medium,Explain testing? (variant),QA process,"testing,qa"
157,DSA,Software Engineer,Any,dsa,hard,Explain trees? (variant),Hierarchical structure,"tree,root"
158,DSA,Software Engineer,Any,dsa,easy,What is queue? (variant),FIFO structure,"queue,fifo"
159,Core,Software Engineer,Any,dbms,medium,What is transaction? (variant),Unit of work,"transaction,db"
160,Core,Software Engineer,Any,dbms,medium,What is indexing? (variant),Speed queries,"index,db"
161,Project,Software Engineer,Any,project,medium,Future improvements? (variant),Enhancements,"future,project"
162,Skill,Software Engineer,Any,python,easy,What is Python? (variant),Programming language,"python,basics"
163,HR,Any,Any,behavioral,medium,Team conflict? (variant),Resolution,"team,conflict"
164,HR,Any,Any,behavioral,medium,Where in 5 years? (variant),Career goal,"future,goal"
165,Skill,Software Engineer,Any,node,medium,What is Node.js? (variant),JS runtime,"node,backend"
166,Company,Software Engineer,Google,ai,hard,Explain ML pipeline? (variant),Data flow,"ml,pipeline"
167,DSA,Software Engineer,Any,dsa,hard,What is backtracking? (variant),Recursive search,"backtrack,recursion"
168,DSA,Software Engineer,Any,dsa,easy,What is queue? (variant),FIFO structure,"queue,fifo"
169,Company,Software Engineer,Google,ai,medium,What is AI? (variant),Machine intelligence,"ai,ml"
170,Project,Software Engineer,Any,project,medium,Explain your project (variant),Describe architecture,"project,design"
171,DSA,Software Engineer,Any,dsa,medium,What is linked list? (variant),Dynamic structure,"list,node"
172,DSA,Software Engineer,Any,dsa,hard,Explain graph traversal (variant),BFS and DFS,"graph,bfs,dfs"
173,HR,Any,Any,behavioral,easy,Why this company? (variant),Motivation,"company,interest"
174,DSA,Software Engineer,Any,dsa,easy,What is stack? (variant),LIFO data structure,"stack,lifo"
175,HR,Any,Any,behavioral,medium,Team conflict? (variant),Resolution,"team,conflict"
176,Project,Software Engineer,Any,project,medium,Challenges faced? (variant),Explain issues,"project,problem"
177,Skill,Software Engineer,Any,python,easy,What is Python? (variant),Programming language,"python,basics"
178,HR,Any,Any,behavioral,medium,Failure example? (variant),Learning,"failure,learn"
179,HR,Any,Any,behavioral,medium,Team conflict? (variant),Resolution,"team,conflict"
180,Skill,Software Engineer,Any,sql,medium,What is JOIN? (variant),Combine tables,"sql,join"
181,Core,Software Engineer,Any,dbms,medium,What is transaction? (variant),Unit of work,"transaction,db"
182,Core,Software Engineer,Any,cn,medium,What is TCP/IP? (variant),Communication protocol,"network,tcp"
183,Skill,Software Engineer,Any,java,medium,What is inheritance? (variant),OOP concept,"inheritance,oop"
184,HR,Any,Any,behavioral,medium,Where in 5 years? (variant),Career goal,"future,goal"
185,Skill,Software Engineer,Any,node,medium,What is Node.js? (variant),JS runtime,"node,backend"
186,Skill,Software Engineer,Any,react,medium,What is JSX? (variant),React syntax,"jsx,react"
187,DSA,Software Engineer,Any,dsa,medium,What is sorting? (variant),Arrange data,"sort,array"
188,Core,Software Engineer,Any,os,medium,Process vs thread? (variant),Process independent,"process,thread"
189,Core,Software Engineer,Any,dbms,easy,What is primary key? (variant),Unique identifier,"key,db"
190,Project,Software Engineer,Any,project,medium,Explain testing? (variant),QA process,"testing,qa"
191,DSA,Software Engineer,Any,dsa,medium,What is sorting? (variant),Arrange data,"sort,array"
192,Company,Software Engineer,Microsoft,cloud,medium,What is Azure? (variant),Cloud platform,"azure,cloud"
193,Core,Software Engineer,Any,os,easy,What is OS? (variant),Manages hardware and software,"os,system"
194,Core,Software Engineer,Any,os,hard,Explain deadlock (variant),Resource blocking,"deadlock,os"
195,HR,Any,Any,behavioral,medium,Weaknesses? (variant),Improvement areas,"weakness,improve"
196,HR,Any,Any,behavioral,medium,Where in 5 years? (variant),Career goal,"future,goal"
197,Core,Software Engineer,Any,cn,medium,What is TCP/IP? (variant),Communication protocol,"network,tcp"
198,HR,Any,Any,behavioral,medium,Where in 5 years? (variant),Career goal,"future,goal"
199,DSA,Software Engineer,Any,dsa,medium,Explain Two Sum problem (variant),Use hashmap for O(n),"array,hashmap"
200,HR,Any,Any,behavioral,easy,Why this company? (variant),Motivation,"company,interest"
201,Project,Software Engineer,Any,project,medium,Challenges faced? (variant),Explain issues,"project,problem"
202,Skill,Software Engineer,Any,java,easy,What is OOP? (variant),Object oriented programming,"oop,java"
203,DSA,Software Engineer,Any,dsa,medium,What is hashing? (variant),Mapping data,"hash,map"
204,HR,Any,Any,behavioral,medium,Strengths? (variant),Positive traits,"strength,skill"
205,Company,Software Engineer,Microsoft,cloud,medium,What is cloud computing? (variant),Internet computing,"cloud,system"
206,Skill,Software Engineer,Any,java,medium,What is inheritance? (variant),OOP concept,"inheritance,oop"
207,DSA,Software Engineer,Any,dsa,medium,What is linked list? (variant),Dynamic structure,"list,node"
208,HR,Any,Any,behavioral,easy,Tell me about yourself (variant),Structured intro,"intro,background"
209,Company,Software Engineer,Microsoft,cloud,medium,What is Azure? (variant),Cloud platform,"azure,cloud"
210,Skill,Software Engineer,Any,node,medium,What is Node.js? (variant),JS runtime,"node,backend"
211,Company,Software Engineer,Google,system design,hard,Explain scalability? (variant),Handle load,"scale,system"
212,DSA,Software Engineer,Any,dsa,medium,What is binary search? (variant),Divide and conquer search,"search,logn"
213,DSA,Software Engineer,Any,dsa,medium,What is binary search? (variant),Divide and conquer search,"search,logn"
214,Core,Software Engineer,Any,os,medium,Process vs thread? (variant),Process independent,"process,thread"
215,Project,Software Engineer,Any,project,easy,Tech stack used? (variant),Tools used,"tech,stack"
216,Company,Software Engineer,Google,system design,hard,Explain scalability? (variant),Handle load,"scale,system"
217,Company,Software Engineer,Amazon,cloud,medium,What is AWS? (variant),Cloud service,"aws,cloud"
218,DSA,Software Engineer,Any,dsa,medium,What is hashing? (variant),Mapping data,"hash,map"
219,Company,Software Engineer,Google,system design,hard,Explain scalability? (variant),Handle load,"scale,system"
220,Skill,Software Engineer,Any,python,easy,What is Python? (variant),Programming language,"python,basics"
221,DSA,Software Engineer,Any,dsa,hard,Explain trees? (variant),Hierarchical structure,"tree,root"
222,Skill,Software Engineer,Any,python,medium,Explain list comprehension (variant),Short syntax,"list,python"
223,HR,Any,Any,behavioral,medium,Team conflict? (variant),Resolution,"team,conflict"
224,DSA,Software Engineer,Any,dsa,medium,What is binary search? (variant),Divide and conquer search,"search,logn"
225,DSA,Software Engineer,Any,dsa,hard,What is backtracking? (variant),Recursive search,"backtrack,recursion"
226,DSA,Software Engineer,Any,dsa,medium,What is binary search? (variant),Divide and conquer search,"search,logn"
227,Skill,Software Engineer,Any,sql,medium,What is JOIN? (variant),Combine tables,"sql,join"
228,Core,Software Engineer,Any,dbms,medium,What is indexing? (variant),Speed queries,"index,db"
229,Skill,Software Engineer,Any,react,medium,What are hooks? (variant),State management,"react,hooks"
230,DSA,Software Engineer,Any,dsa,medium,What is binary search? (variant),Divide and conquer search,"search,logn"
231,Skill,Software Engineer,Any,react,medium,What is JSX? (variant),React syntax,"jsx,react"
232,DSA,Software Engineer,Any,dsa,easy,What is stack? (variant),LIFO data structure,"stack,lifo"
233,HR,Any,Any,behavioral,easy,Why should we hire you? (variant),Justify skills,"hire,fit"
234,Company,Software Engineer,Amazon,cloud,medium,What is AWS? (variant),Cloud service,"aws,cloud"
235,DSA,Software Engineer,Any,dsa,medium,What is binary search? (variant),Divide and conquer search,"search,logn"
236,HR,Any,Any,behavioral,easy,Why this company? (variant),Motivation,"company,interest"
237,DSA,Software Engineer,Any,dsa,hard,Explain dynamic programming (variant),Overlapping subproblems,"dp,optimization"
238,Skill,Software Engineer,Any,java,medium,What is inheritance? (variant),OOP concept,"inheritance,oop"
239,Skill,Software Engineer,Any,java,medium,What is inheritance? (variant),OOP concept,"inheritance,oop"
240,Core,Software Engineer,Any,cn,medium,What is TCP/IP? (variant),Communication protocol,"network,tcp"
241,Skill,Software Engineer,Any,python,easy,What is Python? (variant),Programming language,"python,basics"
242,Core,Software Engineer,Any,cn,medium,What is HTTP? (variant),Protocol,"http,web"
243,Project,Software Engineer,Any,project,medium,Explain your project (variant),Describe architecture,"project,design"
244,Skill,Software Engineer,Any,node,medium,What is Node.js? (variant),JS runtime,"node,backend"
245,HR,Any,Any,behavioral,easy,Why should we hire you? (variant),Justify skills,"hire,fit"
246,Core,Software Engineer,Any,os,medium,What is scheduling? (variant),Process allocation,"schedule,os"
247,DSA,Software Engineer,Any,dsa,hard,Explain dynamic programming (variant),Overlapping subproblems,"dp,optimization"
248,Core,Software Engineer,Any,dbms,medium,What is indexing? (variant),Speed queries,"index,db"
249,DSA,Software Engineer,Any,dsa,hard,Explain trees? (variant),Hierarchical structure,"tree,root"
250,Skill,Software Engineer,Any,sql,medium,What is JOIN? (variant),Combine tables,"sql,join"
251,DSA,Software Engineer,Any,dsa,medium,What is linked list? (variant),Dynamic structure,"list,node"
252,Company,Software Engineer,Google,ai,hard,Explain ML pipeline? (variant),Data flow,"ml,pipeline"
253,DSA,Software Engineer,Any,dsa,medium,What is sorting? (variant),Arrange data,"sort,array"
254,Skill,Software Engineer,Any,node,medium,What is Express? (variant),Backend framework,"express,node"
255,Company,Software Engineer,Google,ai,hard,Explain ML pipeline? (variant),Data flow,"ml,pipeline"
256,HR,Any,Any,behavioral,medium,Where in 5 years? (variant),Career goal,"future,goal"
257,HR,Any,Any,behavioral,easy,Why this company? (variant),Motivation,"company,interest"
258,Project,Software Engineer,Any,project,medium,Explain deployment? (variant),Hosting process,"deploy,server"
259,Core,Software Engineer,Any,dbms,medium,What is indexing? (variant),Speed queries,"index,db"
260,Core,Software Engineer,Any,cn,medium,What is HTTP? (variant),Protocol,"http,web"
261,DSA,Software Engineer,Any,dsa,easy,What is stack? (variant),LIFO data structure,"stack,lifo"
262,DSA,Software Engineer,Any,dsa,hard,What is backtracking? (variant),Recursive search,"backtrack,recursion"
263,Company,Software Engineer,Google,system design,hard,How Google search works? (variant),Distributed system,"google,scale"
264,DSA,Software Engineer,Any,dsa,medium,What is sorting? (variant),Arrange data,"sort,array"
265,DSA,Software Engineer,Any,dsa,hard,What is backtracking? (variant),Recursive search,"backtrack,recursion"
266,DSA,Software Engineer,Any,dsa,hard,Explain graph traversal (variant),BFS and DFS,"graph,bfs,dfs"
267,Project,Software Engineer,Any,project,medium,Your role in project? (variant),Contribution,"role,team"
268,Project,Software Engineer,Any,project,medium,Future improvements? (variant),Enhancements,"future,project"
269,Company,Software Engineer,Google,system design,hard,How Google search works? (variant),Distributed system,"google,scale"
270,Skill,Software Engineer,Any,node,medium,What is Node.js? (variant),JS runtime,"node,backend"
271,HR,Any,Any,behavioral,easy,Tell me about yourself (variant),Structured intro,"intro,background"
272,Project,Software Engineer,Any,project,easy,Tech stack used? (variant),Tools used,"tech,stack"
273,Project,Software Engineer,Any,project,easy,Tech stack used? (variant),Tools used,"tech,stack"
274,DSA,Software Engineer,Any,dsa,easy,What is stack? (variant),LIFO data structure,"stack,lifo"
275,Skill,Software Engineer,Any,react,medium,What are hooks? (variant),State management,"react,hooks"
276,Company,Software Engineer,Microsoft,cloud,medium,What is cloud computing? (variant),Internet computing,"cloud,system"
277,Project,Software Engineer,Any,project,easy,Tech stack used? (variant),Tools used,"tech,stack"
278,HR,Any,Any,behavioral,medium,Failure example? (variant),Learning,"failure,learn"
279,DSA,Software Engineer,Any,dsa,hard,What is backtracking? (variant),Recursive search,"backtrack,recursion"
280,Project,Software Engineer,Any,project,medium,Explain your project (variant),Describe architecture,"project,design"
281,HR,Any,Any,behavioral,medium,Leadership example? (variant),Experience,"leader,example"
282,Project,Software Engineer,Any,project,medium,Your role in project? (variant),Contribution,"role,team"
283,Skill,Software Engineer,Any,python,easy,What is Python? (variant),Programming language,"python,basics"
284,DSA,Software Engineer,Any,dsa,easy,What is stack? (variant),LIFO data structure,"stack,lifo"
285,DSA,Software Engineer,Any,dsa,hard,What is backtracking? (variant),Recursive search,"backtrack,recursion"
286,Skill,Software Engineer,Any,python,medium,What is lambda? (variant),Anonymous function,"lambda,python"
287,Core,Software Engineer,Any,os,hard,Explain deadlock (variant),Resource blocking,"deadlock,os"
288,DSA,Software Engineer,Any,dsa,hard,Explain trees? (variant),Hierarchical structure,"tree,root"
289,Company,Software Engineer,Microsoft,cloud,medium,What is cloud computing? (variant),Internet computing,"cloud,system"
290,DSA,Software Engineer,Any,dsa,medium,Explain Two Sum problem (variant),Use hashmap for O(n),"array,hashmap"
291,HR,Any,Any,behavioral,medium,Weaknesses? (variant),Improvement areas,"weakness,improve"
292,Project,Software Engineer,Any,project,medium,Future improvements? (variant),Enhancements,"future,project"
293,Skill,Software Engineer,Any,sql,medium,What is JOIN? (variant),Combine tables,"sql,join"
294,Core,Software Engineer,Any,dbms,easy,What is primary key? (variant),Unique identifier,"key,db"
295,Skill,Software Engineer,Any,python,easy,What is Python? (variant),Programming language,"python,basics"
296,Project,Software Engineer,Any,project,medium,Explain database used? (variant),DB choice,"database,project"
297,Project,Software Engineer,Any,project,medium,Your role in project? (variant),Contribution,"role,team"
298,DSA,Software Engineer,Any,dsa,medium,What is sorting? (variant),Arrange data,"sort,array"
299,Core,Software Engineer,Any,os,hard,Explain deadlock (variant),Resource blocking,"deadlock,os"
300,HR,Any,Any,behavioral,easy,Tell me about yourself (variant),Structured intro,"intro,background"
